
"Nombre";"Monto";"Titulo";
"Mohd";"Senior Staff";75613.0;
"Jianhua";"Staff";93094.0;
"Gopalakrishnan";"Senior Staff";105081.0;
"Xiong";"Senior Staff";97520.0;
"Limsoon";"Senior Staff";97533.0;
"Yurij";"Staff";76031.0;
"Kwangsub";"Senior Staff";87025.0;
"Utpal";"Senior Staff";77563.0;
"Subhrajyoti";"Senior Staff";111928.0;
"Fen";"Senior Staff";83190.0;
"Dayanand";"Senior Staff";72790.0;
"Huan";"Staff";64733.0;
"Freyja";"Senior Staff";125163.0;
"Werner";"Senior Staff";90591.0;
"Haldun";"Senior Staff";79865.0;
"Nagui";"Senior Staff";105927.0;
"Georgi";"Staff";83306.0;
"Marlo";"Senior Staff";86456.0;
"Szabolcs";"Senior Staff";102480.0;
"Constantino";"Senior Staff";91865.0;
"Nidapan";"Senior Staff";99674.0;
"Masoud";"Senior Staff";94643.0;
"Uri";"Senior Staff";119958.0;
"Zine";"Senior Staff";82435.0;
"Itzchak";"Senior Staff";145732.0;
"Shin";"Senior Staff";62495.0;
"Rance";"Staff";101948.0;
"Ulf";"Staff";75694.0;
"Halsur";"Senior Staff";69351.0;
"Oscar";"Senior Staff";74872.0;
"Aemilian";"Staff";72790.0;
"DAIDA";"Senior Staff";126237.0;
"Duro";"Senior Staff";108887.0;
"Kyoichi";"Senior Staff";109046.0;
"Masasuke";"Senior Staff";110985.0;
"Teiji";"Senior Staff";111175.0;
"Jinxi";"Staff";56048.0;
"Shridhar";"Staff";94557.0;
"Pradeep";"Senior Staff";63122.0;
"Annemarie";"Senior Staff";86936.0;
"Shem";"Senior Staff";65714.0;
"Taiji";"Senior Staff";86968.0;
"Ottavia";"Senior Staff";87232.0;
"Baoqiu";"Staff";78924.0;
"Gill";"Senior Staff";93231.0;
"Mokhtar";"Senior Staff";80089.0;
"Maria";"Senior Staff";96884.0;
"Oksana";"Senior Staff";91605.0;
"Hiroyasu";"Senior Staff";98484.0;
"Pranjal";"Senior Staff";78623.0;
"Munir";"Senior Staff";100835.0;
"Aral";"Senior Staff";98173.0;
"Denis";"Staff";76359.0;
"Dante";"Senior Staff";81071.0;
"Arun";"Senior Staff";100669.0;
"Tesuya";"Staff";64148.0;
"Arnd";"Staff";59403.0;
"Richard";"Staff";68521.0;
"Abdulla";"Senior Staff";59099.0;
"Serge";"Senior Staff";73336.0;
"Tzu";"Staff";101194.0;
"Koichi";"Senior Staff";83529.0;
"Fayez";"Senior Staff";94787.0;
"Naftaly";"Senior Staff";67644.0;
"Tua";"Staff";74169.0;
"Hongzhu";"Senior Staff";122415.0;
"Tommaso";"Senior Staff";76622.0;
"Herb";"Senior Staff";64533.0;
"Niranjan";"Senior Staff";92720.0;
"Mikhail";"Senior Staff";91724.0;
"Jayson";"Senior Staff";91774.0;
"Chenye";"Senior Staff";82498.0;
"Bikash";"Senior Staff";87439.0;
"Zhongwei";"Staff";77790.0;
"Divier";"Senior Staff";133910.0;
"Ipke";"Staff";88523.0;
"Venkatesan";"Staff";53274.0;
"Baoqiu";"Senior Staff";85133.0;
"Akeel";"Senior Staff";104171.0;
"Arra";"Senior Staff";97602.0;
"Patricia";"Senior Staff";89692.0;
"Remmert";"Senior Staff";92746.0;
"Tesuro";"Senior Staff";64356.0;
"Cordelia";"Senior Staff";112689.0;
"Candida";"Senior Staff";122132.0;
"Mana";"Senior Staff";110068.0;
"Oddvar";"Senior Staff";99533.0;
"Charlene";"Staff";77578.0;
"Kiyomitsu";"Staff";72339.0;
"Sumant";"Senior Staff";93706.0;
"Niranjan";"Senior Staff";69336.0;
"Poornachandra";"Senior Staff";88567.0;
"Sibyl";"Staff";101046.0;
"Yechezkel";"Staff";64125.0;
"Zhilian";"Senior Staff";108904.0;
"Syozo";"Senior Staff";88722.0;
"Baziley";"Senior Staff";90248.0;
"Moon";"Staff";86350.0;
"Aemilian";"Staff";43896.0;
"Mads";"Senior Staff";100845.0;
"Odysseas";"Staff";74823.0;
"Karlis";"Senior Staff";107431.0;
"Panayotis";"Senior Staff";68259.0;
"Xinan";"Senior Staff";105310.0;
"Mostafa";"Senior Staff";104600.0;
"Nobuyoshi";"Senior Staff";122487.0;
"Nevio";"Senior Staff";111938.0;
"Aron";"Staff";105090.0;
"Hairong";"Senior Staff";78582.0;
"Urs";"Senior Staff";88587.0;
"Suebskul";"Senior Staff";141114.0;
"Aamer";"Senior Staff";84618.0;
"Chenxi";"Senior Staff";104290.0;
"Huan";"Senior Staff";137240.0;
"Kwangho";"Senior Staff";92773.0;
"Nikolaus";"Staff";72285.0;
"Yongqiao";"Staff";66375.0;
"Subhankar";"Senior Staff";110057.0;
"Miomir";"Staff";64901.0;
"Honesty";"Staff";113252.0;
"Chikara";"Senior Staff";79930.0;
"Amabile";"Staff";58659.0;
"Juichirou";"Staff";88935.0;
"Udi";"Staff";85505.0;
"Jaideep";"Senior Staff";108197.0;
"Jeanne";"Senior Staff";89980.0;
"Masamitsu";"Senior Staff";91660.0;
"Kendra";"Senior Staff";78613.0;
"Oksana";"Senior Staff";57500.0;
"Suvo";"Senior Staff";119562.0;
"Heekeun";"Staff";113551.0;
"Oguz";"Staff";54310.0;
"Yannik";"Senior Staff";103055.0;
"Mooi";"Senior Staff";89828.0;
"Kwangsub";"Staff";84061.0;
"Mihalis";"Senior Staff";117679.0;
"Genki";"Staff";99676.0;
"Shao";"Senior Staff";126461.0;
"Marek";"Staff";93365.0;
"Kerryn";"Staff";49296.0;
"Olivera";"Senior Staff";80842.0;
"Jingling";"Senior Staff";89226.0;
"Shai";"Staff";60308.0;
"Stein";"Senior Staff";105874.0;
"Izaskun";"Senior Staff";94048.0;
"Niteen";"Senior Staff";98242.0;
"Tonia";"Senior Staff";123684.0;
"Shih";"Senior Staff";123494.0;
"Leszek";"Senior Staff";70769.0;
"Theron";"Senior Staff";106336.0;
"Horward";"Senior Staff";90771.0;
"Sadok";"Staff";83501.0;
"Saniya";"Senior Staff";81547.0;
"Gita";"Senior Staff";95220.0;
"Georgy";"Staff";96999.0;
"Lubomir";"Senior Staff";93858.0;
"Yaghout";"Senior Staff";80406.0;
"Hatem";"Senior Staff";89012.0;
"Petter";"Senior Staff";91096.0;
"Chandrasekaran";"Staff";101737.0;
"Shawna";"Senior Staff";75057.0;
"Shahaf";"Senior Staff";113187.0;
"Jiafu";"Staff";50620.0;
"Zhongwei";"Senior Staff";99167.0;
"Goo";"Senior Staff";79966.0;
"Kensyu";"Senior Staff";87960.0;
"Shigeo";"Senior Staff";87781.0;
"Kyoichi";"Staff";71535.0;
"Pragnesh";"Senior Staff";111083.0;
"Stamatina";"Senior Staff";108781.0;
"Jouni";"Staff";90897.0;
"Dekang";"Senior Staff";118841.0;
"Rosalyn";"Senior Staff";130953.0;
"Siamak";"Staff";69014.0;
"Weicheng";"Staff";84628.0;
"Arunas";"Staff";84566.0;
"Izaskun";"Senior Staff";70011.0;
"Luigi";"Senior Staff";121796.0;
"Gino";"Senior Staff";71170.0;
"Dung";"Senior Staff";75258.0;
"Gregory";"Staff";62811.0;
"Hatem";"Senior Staff";70745.0;
"Spyrose";"Staff";81054.0;
"Parke";"Staff";65870.0;
"Mara";"Senior Staff";97936.0;
"Supot";"Senior Staff";101604.0;
"Mohit";"Staff";61530.0;
"Hitofumi";"Senior Staff";75419.0;
"Shuji";"Senior Staff";115439.0;
"Maik";"Senior Staff";77057.0;
"Sreenivas";"Senior Staff";57598.0;
"Bogdan";"Senior Staff";67516.0;
"Gunilla";"Senior Staff";103414.0;
"Lillian";"Senior Staff";106517.0;
"Tiina";"Staff";77938.0;
"Naraig";"Staff";65905.0;
"Claude";"Senior Staff";80543.0;
"Tadahiro";"Senior Staff";71034.0;
"Florian";"Senior Staff";90589.0;
"Jianwen";"Senior Staff";99094.0;
"Elvis";"Senior Staff";91219.0;
"Marl";"Senior Staff";85624.0;
"Xiaoshan";"Senior Staff";105086.0;
"Giri";"Senior Staff";91581.0;
"Huai";"Staff";70326.0;
"Aimee";"Senior Staff";113149.0;
"Neven";"Senior Staff";106621.0;
"Licheng";"Senior Staff";84247.0;
"Dipankar";"Staff";93355.0;
"Arco";"Senior Staff";74292.0;
"Sergi";"Senior Staff";64571.0;
"Owen";"Senior Staff";68014.0;
"Spyrose";"Senior Staff";119704.0;
"Kazuhide";"Senior Staff";81596.0;
"Dinkar";"Senior Staff";86433.0;
"Eckart";"Senior Staff";111793.0;
"Paraskevi";"Senior Staff";88071.0;
"Hidefumi";"Senior Staff";84870.0;
"Mohan";"Senior Staff";85152.0;
"Yoshimitsu";"Senior Staff";63162.0;
"Subhash";"Senior Staff";98203.0;
"Khalil";"Senior Staff";82501.0;
"Yagil";"Senior Staff";76084.0;
"Toshimi";"Senior Staff";111278.0;
"Mayumi";"Senior Staff";85949.0;
"Waiman";"Senior Staff";118570.0;
"Idoia";"Staff";66985.0;
"Alagu";"Senior Staff";80267.0;
"Keiichiro";"Senior Staff";124811.0;
"Zine";"Senior Staff";85921.0;
"Marek";"Staff";77884.0;
"Sajjan";"Staff";83545.0;
"Jianhua";"Senior Staff";85000.0;
"Arve";"Senior Staff";84424.0;
"Quingbo";"Senior Staff";106920.0;
"Haldon";"Senior Staff";95058.0;
"Shichao";"Senior Staff";102056.0;
"Shan";"Senior Staff";119028.0;
"Shaw";"Senior Staff";102335.0;
"Fun";"Senior Staff";72195.0;
"Mountaz";"Senior Staff";64024.0;
"Arve";"Senior Staff";76480.0;
"Pranas";"Senior Staff";105731.0;
"Kankanahalli";"Staff";97765.0;
"Moty";"Staff";94696.0;
"Kyoichi";"Senior Staff";126688.0;
"Maria";"Senior Staff";103031.0;
"Thodoros";"Senior Staff";120213.0;
"Hein";"Senior Staff";90760.0;
"Koldo";"Staff";92362.0;
"Goncalo";"Staff";102438.0;
"Flemming";"Senior Staff";100195.0;
"Ebru";"Senior Staff";57041.0;
"Uta";"Senior Staff";88827.0;
"Adil";"Staff";86760.0;
"Cheong";"Senior Staff";105719.0;
"Oguz";"Senior Staff";77504.0;
"Munehiro";"Senior Staff";92851.0;
"Bokyung";"Senior Staff";68769.0;
"Koldo";"Staff";68355.0;
"Demin";"Senior Staff";117171.0;
"Val";"Staff";74918.0;
"Hatsukazu";"Senior Staff";113614.0;
"Zeydy";"Senior Staff";81421.0;
"Xumin";"Senior Staff";76381.0;
"Valeri";"Staff";79493.0;
"Fumitake";"Senior Staff";90104.0;
"Toney";"Senior Staff";122549.0;
"Randy";"Senior Staff";88949.0;
"Tremaine";"Senior Staff";72747.0;
"Sanjit";"Staff";88708.0;
"Dipayan";"Senior Staff";73593.0;
"Bouchung";"Senior Staff";86544.0;
"Giri";"Staff";81533.0;
"Sreekrishna";"Staff";56797.0;
"Sanjai";"Senior Staff";100054.0;
"Danco";"Senior Staff";64704.0;
"Masadi";"Senior Staff";61928.0;
"Yucel";"Senior Staff";107941.0;
"Subhada";"Senior Staff";96225.0;
"LiMin";"Senior Staff";83609.0;
"Kamakshi";"Senior Staff";67421.0;
"Reuven";"Senior Staff";74950.0;
"Xiaocheng";"Senior Staff";68898.0;
"Mohammad";"Staff";49953.0;
"Caolyn";"Senior Staff";102337.0;
"Sachin";"Senior Staff";106565.0;
"Chaoyi";"Senior Staff";67439.0;
"Toshimori";"Senior Staff";96351.0;
"Cordelia";"Staff";84817.0;
"Fun";"Senior Staff";62723.0;
"Beshir";"Senior Staff";119554.0;
"Shuichi";"Staff";91511.0;
"Lijia";"Senior Staff";131784.0;
"Etsuo";"Senior Staff";101468.0;
"Xuejia";"Staff";85128.0;
"Gor";"Senior Staff";86356.0;
"Tzu";"Senior Staff";102021.0;
"Dmitry";"Senior Staff";93210.0;
"Khedija";"Senior Staff";95634.0;
"Xiaoqiang";"Staff";79242.0;
"Teiji";"Senior Staff";92450.0;
"Shaowei";"Senior Staff";75194.0;
"Oldrich";"Senior Staff";46827.0;
"Marsal";"Senior Staff";93649.0;
"Gadiel";"Senior Staff";85424.0;
"Denny";"Staff";52195.0;
"Constantino";"Senior Staff";62783.0;
"Sandeepan";"Staff";41963.0;
"Yongdong";"Staff";72202.0;
"Mingdong";"Staff";109066.0;
"Mamdouh";"Staff";60616.0;
"Licheng";"Senior Staff";98473.0;
"Lein";"Senior Staff";90182.0;
"Rildo";"Senior Staff";88689.0;
"Sugwoo";"Senior Staff";65650.0;
"Magy";"Senior Staff";68230.0;
"Pranas";"Staff";83783.0;
"Kwangho";"Senior Staff";75242.0;
"Jongsuk";"Senior Staff";92699.0;
"Subhrajyoti";"Senior Staff";83188.0;
"Fumino";"Senior Staff";117377.0;
"Demin";"Senior Staff";75890.0;
"Yakichi";"Senior Staff";81022.0;
"Eirik";"Senior Staff";94151.0;
"Arve";"Senior Staff";107226.0;
"Surveyors";"Senior Staff";107893.0;
"Shietung";"Staff";84903.0;
"Takushi";"Senior Staff";95944.0;
"Barry";"Staff";93597.0;
"Becky";"Senior Staff";94005.0;
"Taiji";"Senior Staff";91847.0;
"Alejandro";"Staff";105381.0;
"Xiping";"Senior Staff";94391.0;
"Reinhard";"Senior Staff";107181.0;
"Junsik";"Staff";79534.0;
"Macha";"Staff";82757.0;
"Anoosh";"Staff";74525.0;
"Shigeaki";"Senior Staff";80578.0;
"Mokhtar";"Staff";68153.0;
"Oguz";"Staff";69272.0;
"Mahmut";"Senior Staff";92602.0;
"IEEE";"Senior Staff";69801.0;
"Maya";"Senior Staff";103703.0;
"Gal";"Senior Staff";90365.0;
"Mooi";"Senior Staff";112024.0;
"Jamaludin";"Senior Staff";97978.0;
"Mayuko";"Staff";117827.0;
"Sarita";"Staff";79447.0;
"Troy";"Senior Staff";82093.0;
"Falguni";"Staff";71905.0;
"Snehasis";"Senior Staff";86777.0;
"Stevo";"Staff";67399.0;
"Itzchak";"Senior Staff";89169.0;
"Bogdan";"Senior Staff";78670.0;
"Duangkaew";"Staff";81640.0;
"Bikash";"Senior Staff";84717.0;
"Gennadi";"Staff";75543.0;
"Alain";"Senior Staff";58469.0;
"Siddarth";"Senior Staff";110411.0;
"Willard";"Senior Staff";84076.0;
"Tonia";"Senior Staff";91722.0;
"Ramachenga";"Staff";93237.0;
"Masato";"Senior Staff";77430.0;
"Taisook";"Staff";69220.0;
"Macha";"Senior Staff";99645.0;
"Emdad";"Senior Staff";91309.0;
"Caolyn";"Senior Staff";93254.0;
"Shaowen";"Staff";90504.0;
"Vasilis";"Senior Staff";74081.0;
"Persi";"Senior Staff";61606.0;
"Abdulla";"Senior Staff";100642.0;
"Nalini";"Senior Staff";101604.0;
"Susuma";"Senior Staff";89245.0;
"Zhiwei";"Senior Staff";72321.0;
"Barton";"Senior Staff";118521.0;
"Zhonghui";"Senior Staff";81962.0;
"Weiyi";"Staff";51486.0;
"Marco";"Senior Staff";87420.0;
"Atreye";"Staff";77355.0;
"Kazuhiro";"Senior Staff";64121.0;
"Claudi";"Senior Staff";104934.0;
"Marlo";"Senior Staff";79291.0;
"Qingxiang";"Staff";61342.0;
"Pranav";"Senior Staff";87703.0;
"Mong";"Senior Staff";79298.0;
"Maria";"Staff";75377.0;
"Remzi";"Senior Staff";73707.0;
"Gererd";"Senior Staff";96471.0;
"Tokuyasu";"Senior Staff";77817.0;
"Danco";"Staff";80329.0;
"Zhigen";"Senior Staff";76012.0;
"Charmane";"Senior Staff";94207.0;
"Feixiong";"Staff";85071.0;
"Uta";"Senior Staff";115776.0;
"Shim";"Senior Staff";85878.0;
"Zorica";"Staff";79316.0;
"Marek";"Senior Staff";79582.0;
"Tomoyuki";"Staff";90241.0;
"Qunsheng";"Senior Staff";81407.0;
"Kinh";"Senior Staff";81154.0;
"Weicheng";"Senior Staff";121213.0;
"Sajjan";"Senior Staff";113093.0;
"Unal";"Senior Staff";72560.0;
"Chinho";"Senior Staff";66944.0;
"Munehiro";"Senior Staff";61831.0;
"Irena";"Senior Staff";92783.0;
"Jungsoon";"Senior Staff";144534.0;
"Shahid";"Senior Staff";136392.0;
"Kristian";"Senior Staff";99268.0;
"Xiong";"Staff";81578.0;
"Leif";"Senior Staff";131604.0;
"Nobuyoshi";"Staff";116495.0;
"Arne";"Senior Staff";82508.0;
"Itzchak";"Senior Staff";101574.0;
"Suebskul";"Senior Staff";113206.0;
"Licheng";"Senior Staff";130345.0;
"Alain";"Senior Staff";76742.0;
"Uri";"Senior Staff";87176.0;
"Shunichi";"Staff";47064.0;
"Aluzio";"Staff";104260.0;
"Martijn";"Senior Staff";76982.0;
"Margareta";"Senior Staff";87448.0;
"Aloke";"Senior Staff";45186.0;
"Paloma";"Staff";70037.0;
"Suzette";"Staff";83430.0;
"Lijia";"Senior Staff";117735.0;
"Marsja";"Staff";96981.0;
"Cedric";"Senior Staff";127971.0;
"Souichi";"Senior Staff";101661.0;
"Pranjal";"Senior Staff";99445.0;
"Arvind";"Senior Staff";109712.0;
"Yefim";"Senior Staff";82906.0;
"IEEE";"Senior Staff";112806.0;
"Saddek";"Staff";57460.0;
"Mohd";"Staff";64221.0;
"Maya";"Senior Staff";73515.0;
"Honesty";"Senior Staff";98538.0;
"Bikash";"Senior Staff";90237.0;
"Jayesh";"Staff";73973.0;
"Deborah";"Senior Staff";110941.0;
"Oldrich";"Senior Staff";80391.0;
"Stella";"Senior Staff";92568.0;
"Hatem";"Senior Staff";73806.0;
"Dung";"Senior Staff";99505.0;
"Chuanyi";"Staff";67173.0;
"Jordanka";"Senior Staff";101116.0;
"Hisao";"Staff";73901.0;
"Martial";"Senior Staff";89726.0;
"Houman";"Staff";95720.0;
"Toong";"Staff";83112.0;
"Adin";"Staff";80099.0;
"Yunming";"Senior Staff";108326.0;
"Gennadi";"Senior Staff";127563.0;
"Elliott";"Senior Staff";115322.0;
"Naftali";"Senior Staff";116273.0;
"Pohua";"Senior Staff";111036.0;
"Wuxu";"Senior Staff";111005.0;
"Perry";"Senior Staff";79549.0;
"Inderjeet";"Staff";70086.0;
"Stein";"Staff";65989.0;
"Anneke";"Senior Staff";69033.0;
"Theron";"Senior Staff";72593.0;
"Matk";"Senior Staff";84768.0;
"Achilleas";"Senior Staff";51381.0;
"Yannis";"Senior Staff";68100.0;
"Malu";"Senior Staff";107050.0;
"Temple";"Senior Staff";93102.0;
"Lalit";"Senior Staff";113471.0;
"Achilleas";"Senior Staff";123055.0;
"Gurbir";"Senior Staff";74418.0;
"Alejandro";"Senior Staff";89313.0;
"Shalesh";"Senior Staff";79968.0;
"Chaitali";"Senior Staff";73458.0;
"Nakhoon";"Senior Staff";90380.0;
"Hongzue";"Senior Staff";127554.0;
"Fumitaka";"Staff";73057.0;
"Almudena";"Senior Staff";94470.0;
"Perla";"Senior Staff";73895.0;
"Leon";"Staff";79325.0;
"Odinaldo";"Senior Staff";63610.0;
"Thanasis";"Senior Staff";73820.0;
"Miquel";"Staff";59078.0;
"Visit";"Staff";68277.0;
"Sumant";"Senior Staff";82437.0;
"Rasikan";"Senior Staff";47846.0;
"Krister";"Senior Staff";137659.0;
"Christoph";"Senior Staff";120623.0;
"Marin";"Senior Staff";86298.0;
"Shigeu";"Staff";71124.0;
"Wilmer";"Senior Staff";102616.0;
"Ayonca";"Senior Staff";120204.0;
"Gudjon";"Staff";66044.0;
"Akeel";"Staff";75956.0;
"Martina";"Staff";109149.0;
"Minghong";"Senior Staff";88271.0;
"Mohua";"Senior Staff";101464.0;
"Arun";"Senior Staff";79964.0;
"Gor";"Staff";74907.0;
"Chiradeep";"Senior Staff";91601.0;
"Sushant";"Senior Staff";82641.0;
"Mana";"Senior Staff";86041.0;
"Charlene";"Senior Staff";120900.0;
"Leif";"Senior Staff";101294.0;
"Sachem";"Staff";59581.0;
"Sudharsan";"Senior Staff";81508.0;
"Adly";"Senior Staff";78692.0;
"Yaghout";"Senior Staff";88154.0;
"Takushi";"Staff";56034.0;
"Apostol";"Staff";83816.0;
"Arie";"Staff";54864.0;
"Shahid";"Senior Staff";79189.0;
"Izaskun";"Senior Staff";44799.0;
"Bernd";"Senior Staff";82812.0;
"Sanjeeva";"Senior Staff";90395.0;
"Christfried";"Senior Staff";65339.0;
"Bernardo";"Senior Staff";90027.0;
"Shiv";"Senior Staff";124374.0;
"Maja";"Senior Staff";110869.0;
"Miyeon";"Senior Staff";121143.0;
"Gurbir";"Staff";57968.0;
"Rafael";"Staff";59127.0;
"Martijn";"Senior Staff";86239.0;
"Jaroslava";"Senior Staff";84141.0;
"Shigehiro";"Senior Staff";102074.0;
"Przemyslawa";"Senior Staff";87349.0;
"Sakthirel";"Senior Staff";62582.0;
"Premal";"Staff";86426.0;
"Shih";"Senior Staff";130450.0;
"Nahum";"Senior Staff";106502.0;
"Shounak";"Senior Staff";92204.0;
"Berna";"Senior Staff";62210.0;
"Alassane";"Senior Staff";88583.0;
"Limsoon";"Staff";83590.0;
"Gianluca";"Senior Staff";102331.0;
"Adib";"Senior Staff";91592.0;
"Hongzue";"Senior Staff";89453.0;
"Younwoo";"Senior Staff";78667.0;
"Aksel";"Senior Staff";103766.0;
"Gilbert";"Senior Staff";103331.0;
"Miyeon";"Senior Staff";98341.0;
"Ayonca";"Staff";66603.0;
"Shirish";"Senior Staff";82090.0;
"Sven";"Senior Staff";101642.0;
